Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
tap,,,2018-02-08 11:24:07,2018-02-08 11:24:08,0.692s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:24:08,2018-02-08 11:24:09,0.637s,PASSED
tap,,,2018-02-08 11:24:09,2018-02-08 11:24:09,0.547s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:24:09,2018-02-08 11:24:10,0.670s,PASSED
tap,,,2018-02-08 11:24:10,2018-02-08 11:24:11,1.488s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:24:11,2018-02-08 11:24:12,0.660s,PASSED
tap,,,2018-02-08 11:24:12,2018-02-08 11:24:13,0.783s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:24:13,2018-02-08 11:24:14,0.891s,PASSED
tap,,,2018-02-08 11:24:14,2018-02-08 11:24:16,1.910s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:24:16,2018-02-08 11:24:17,1.297s,PASSED
tap,,,2018-02-08 11:24:17,2018-02-08 11:24:18,0.635s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E0A\u0E37\u0E48\u0E2D,2018-02-08 11:24:18,2018-02-08 11:24:18,0.793s,PASSED
setText,,,2018-02-08 11:24:18,2018-02-08 11:24:24,5.914s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E40\u0E21\u0E25,2018-02-08 11:24:24,2018-02-08 11:24:25,0.918s,PASSED
setText,,,2018-02-08 11:24:25,2018-02-08 11:24:31,5.763s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E1E\u0E32\u0E2A,2018-02-08 11:24:31,2018-02-08 11:24:32,0.584s,PASSED
setText,,,2018-02-08 11:24:32,2018-02-08 11:24:39,7.369s,PASSED
scrollToText,,,2018-02-08 11:24:39,2018-02-08 11:24:45,6.215s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E23\u0E35\u0E1E\u0E32\u0E2A,2018-02-08 11:24:45,2018-02-08 11:24:45,0.095s,PASSED
setText,,,2018-02-08 11:24:45,2018-02-08 11:24:53,7.466s,PASSED
waitForElementPresent,,\u0E15\u0E34\u0E49\u0E01\u0E16\u0E39\u0E01 agreement,2018-02-08 11:24:53,2018-02-08 11:24:53,0.735s,PASSED
tap,,,2018-02-08 11:24:53,2018-02-08 11:24:54,0.274s,PASSED
waitForElementPresent,,submit,2018-02-08 11:24:54,2018-02-08 11:24:54,0.580s,PASSED
tap,,,2018-02-08 11:24:54,2018-02-08 11:24:55,0.297s,PASSED
scrollToText,,error pass not match,2018-02-08 11:24:55,2018-02-08 11:24:56,1.567s,PASSED
delay,,,2018-02-08 11:24:56,2018-02-08 11:24:58,2.002s,PASSED
closeApplication,,,2018-02-08 11:24:58,2018-02-08 11:25:01,2.591s,PASSED
,,,,,,
Test Cases/Authentication/Feature_Register/Register with E-mail/EmailRegister04,,Testcase : https://goo.gl/i4XK4D,2018-02-08 11:25:01,2018-02-08 11:26:24,1m - 23.103s,PASSED
startApplication,,,2018-02-08 11:25:01,2018-02-08 11:25:21,20.465s,PASSED
waitForElementPresent,,\u0E23\u0E2D Navbar hamburger,2018-02-08 11:25:21,2018-02-08 11:25:24,3.016s,PASSED
tap,,,2018-02-08 11:25:24,2018-02-08 11:25:25,0.782s,PASSED
waitForElementPresent,,\u0E23\u0E2D Navbar Login,2018-02-08 11:25:25,2018-02-08 11:25:26,1.080s,PASSED
tap,,,2018-02-08 11:25:26,2018-02-08 11:25:27,0.846s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 Register,2018-02-08 11:25:27,2018-02-08 11:25:28,1.281s,PASSED
tap,,,2018-02-08 11:25:28,2018-02-08 11:25:29,0.746s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:25:29,2018-02-08 11:25:30,0.636s,PASSED
tap,,,2018-02-08 11:25:30,2018-02-08 11:25:30,0.573s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:25:30,2018-02-08 11:25:31,0.642s,PASSED
tap,,,2018-02-08 11:25:31,2018-02-08 11:25:32,1.341s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:25:32,2018-02-08 11:25:33,0.437s,PASSED
tap,,,2018-02-08 11:25:33,2018-02-08 11:25:34,1.241s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:25:34,2018-02-08 11:25:35,0.777s,PASSED
tap,,,2018-02-08 11:25:35,2018-02-08 11:25:39,4.221s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:25:39,2018-02-08 11:25:40,0.923s,PASSED
tap,,,2018-02-08 11:25:40,2018-02-08 11:25:40,0.202s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E0A\u0E37\u0E48\u0E2D,2018-02-08 11:25:40,2018-02-08 11:25:41,0.932s,PASSED
setText,,,2018-02-08 11:25:41,2018-02-08 11:25:47,6.025s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E40\u0E21\u0E25,2018-02-08 11:25:47,2018-02-08 11:25:48,0.583s,PASSED
setText,,,2018-02-08 11:25:48,2018-02-08 11:25:54,5.990s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E1E\u0E32\u0E2A,2018-02-08 11:25:54,2018-02-08 11:25:54,0.577s,PASSED
setText,,,2018-02-08 11:25:54,2018-02-08 11:26:02,7.341s,PASSED
scrollToText,,,2018-02-08 11:26:02,2018-02-08 11:26:08,6.555s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E23\u0E35\u0E1E\u0E32\u0E2A,2018-02-08 11:26:08,2018-02-08 11:26:08,0.093s,PASSED
setText,,,2018-02-08 11:26:08,2018-02-08 11:26:16,7.555s,PASSED
waitForElementPresent,,\u0E15\u0E34\u0E49\u0E01\u0E16\u0E39\u0E01 agreement,2018-02-08 11:26:16,2018-02-08 11:26:16,0.588s,PASSED
tap,,,2018-02-08 11:26:16,2018-02-08 11:26:17,0.321s,PASSED
waitForElementPresent,,submit,2018-02-08 11:26:17,2018-02-08 11:26:17,0.550s,PASSED
tap,,,2018-02-08 11:26:17,2018-02-08 11:26:18,0.324s,PASSED
scrollToText,,error pass 6-30,2018-02-08 11:26:18,2018-02-08 11:26:19,1.631s,PASSED
delay,,,2018-02-08 11:26:19,2018-02-08 11:26:21,2.002s,PASSED
closeApplication,,,2018-02-08 11:26:21,2018-02-08 11:26:24,2.636s,PASSED
,,,,,,
Test Cases/Authentication/Feature_Register/Register with E-mail/EmailRegister05,,Testcase : https://goo.gl/i4XK4D,2018-02-08 11:26:24,2018-02-08 11:27:18,53.947s,PASSED
startApplication,,,2018-02-08 11:26:24,2018-02-08 11:26:44,20.240s,PASSED
waitForElementPresent,,\u0E23\u0E2D Navbar hamburger,2018-02-08 11:26:44,2018-02-08 11:26:48,3.763s,PASSED
tap,,,2018-02-08 11:26:48,2018-02-08 11:26:48,0.290s,PASSED
waitForElementPresent,,\u0E23\u0E2D Navbar Login,2018-02-08 11:26:48,2018-02-08 11:26:49,1.069s,PASSED
tap,,,2018-02-08 11:26:49,2018-02-08 11:26:50,0.971s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 Register,2018-02-08 11:26:50,2018-02-08 11:26:52,1.172s,PASSED
tap,,,2018-02-08 11:26:52,2018-02-08 11:26:53,1.038s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:26:53,2018-02-08 11:26:53,0.357s,PASSED
scrollToText,,,2018-02-08 11:26:53,2018-02-08 11:26:59,6.455s,PASSED
waitForElementPresent,,\u0E15\u0E34\u0E49\u0E01\u0E16\u0E39\u0E01 agreement,2018-02-08 11:26:59,2018-02-08 11:27:00,0.076s,PASSED
tap,,,2018-02-08 11:27:00,2018-02-08 11:27:00,0.258s,PASSED
waitForElementPresent,,submit,2018-02-08 11:27:00,2018-02-08 11:27:00,0.554s,PASSED
tap,,,2018-02-08 11:27:00,2018-02-08 11:27:01,0.302s,PASSED
scrollToText,,req img,2018-02-08 11:27:01,2018-02-08 11:27:02,1.695s,PASSED
scrollToText,,req img,2018-02-08 11:27:02,2018-02-08 11:27:04,1.510s,PASSED
scrollToText,,req email,2018-02-08 11:27:04,2018-02-08 11:27:05,1.481s,PASSED
scrollToText,,req pass,2018-02-08 11:27:05,2018-02-08 11:27:12,6.399s,PASSED
scrollToText,,req repass,2018-02-08 11:27:12,2018-02-08 11:27:13,1.459s,PASSED
delay,,,2018-02-08 11:27:13,2018-02-08 11:27:15,2.002s,PASSED
closeApplication,,,2018-02-08 11:27:15,2018-02-08 11:27:18,2.681s,PASSED
